Date,Year,Sto_Nino_WL_Valid_Hours,Sto_Nino_WL_24h_Pass,Sto_Nino_WL_DailyMax,Nangka_WL_Valid_Hours,Nangka_WL_24h_Pass,Nangka_WL_DailyMax,BosoBoso_Rain_Valid_Hours,BosoBoso_Rain_24h_Pass,BosoBoso_Rain_DailySum,Campana_Rain_Valid_Hours,Campana_Rain_24h_Pass,Campana_Rain_DailySum,Nangka_Rain_Valid_Hours,Nangka_Rain_24h_Pass,Nangka_Rain_DailySum,Oro_Rain_Valid_Hours,Oro_Rain_24h_Pass,Oro_Rain_DailySum,Aries_Rain_Valid_Hours,Aries_Rain_24h_Pass,Aries_Rain_DailySum,All7_Common_24h_Pass,Exact_t1_Eligible,Exact_t2_Eligible,Exact_t3_Eligible
2016-01-01,2016,24,YES,12.31,24,YES,15.84,24,YES,2.0,24,YES,5.0,24,YES,1.0,24,YES,1.0,24,YES,1.0,YES,False,False,False
2016-01-02,2016,24,YES,12.32,24,YES,15.84,24,YES,6.0,24,YES,6.0,24,YES,0.0,24,YES,1.0,24,YES,2.0,YES,True,False,False
2016-01-03,2016,24,YES,12.28,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,False
2016-01-04,2016,21,NO,,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,NO,False,False,False
2016-01-05,2016,24,YES,12.16,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,False,False,False
2016-01-06,2016,10,NO,,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,NO,False,False,False
2016-01-07,2016,0,NO,,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,1.0,NO,False,False,False
2016-01-08,2016,13,NO,,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,NO,False,False,False
2016-01-09,2016,24,YES,12.08,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,False,False,False
2016-01-10,2016,24,YES,12.07,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,False,False
2016-01-11,2016,24,YES,12.06,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,False
2016-01-12,2016,24,YES,12.14,24,YES,15.84,24,YES,16.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-13,2016,24,YES,12.12,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-14,2016,24,YES,12.03,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-15,2016,24,YES,12.01,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-16,2016,24,YES,12.0,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-17,2016,24,YES,12.0,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-18,2016,24,YES,11.99,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-19,2016,24,YES,11.98,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
2016-01-20,2016,24,YES,11.97,24,YES,15.84,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,24,YES,0.0,YES,True,True,True
