Year,Calendar_Days,Sto_Strict_24h_Days,Nangka_WL_Strict_24h_Days,BosoBoso_Strict_24h_Days,Campana_Strict_24h_Days,NangkaRain_Strict_24h_Days,Oro_Strict_24h_Days,Aries_Strict_24h_Days,All7_Common_24h_Days,Exact_t1_Eligible_Days,Exact_t2_Eligible_Days,Exact_t3_4Day_Block_Eligible_Days
2016,366,354,366,365,365,365,365,365,353,341,331,321
2017,365,362,364,365,365,365,342,364,337,330,323,316
2018,365,353,353,362,357,0,358,359,0,0,0,0
2019,365,348,352,361,361,360,361,360,339,316,293,272
2020,366,357,335,364,0,355,363,365,0,0,0,0
2021,365,354,276,365,365,351,360,359,274,221,183,152
2022,365,335,246,365,365,296,353,360,215,142,102,77
2023,365,345,260,364,361,345,340,349,234,179,144,114
2024,366,323,273,364,364,314,356,358,239,194,160,139
2025,365,328,155,332,307,260,349,332,137,109,91,82
