Date,WaterLevel
2016-01-01,15.84
2016-01-02,15.84
2016-01-03,15.84
2016-01-04,15.84
2016-01-05,15.84
2016-01-06,15.84
2016-01-07,15.84
2016-01-08,15.84
2016-01-09,15.84
2016-01-10,15.84
2016-01-11,15.84
2016-01-12,15.84
2016-01-13,15.84
2016-01-14,15.84
2016-01-15,15.84
2016-01-16,15.84
2016-01-17,15.84
2016-01-18,15.84
2016-01-19,15.84
2016-01-20,15.84
2016-01-21,15.84
2016-01-22,15.84
2016-01-23,15.84
2016-01-24,15.84
2016-01-25,15.84
2016-01-26,15.822
2016-01-27,15.81
2016-01-28,15.81
2016-01-29,15.81
2016-01-30,15.81
2016-01-31,15.81
2016-02-01,15.8
2016-02-02,15.8
2016-02-03,15.8
2016-02-04,15.8
2016-02-05,15.8
2016-02-06,15.8
2016-02-07,15.8
2016-02-08,15.8
2016-02-09,15.8
2016-02-10,15.8
2016-02-11,15.8
2016-02-12,15.8
2016-02-13,15.8
2016-02-14,15.8
2016-02-15,15.8
2016-02-16,15.8
2016-02-17,15.8
2016-02-18,15.8
2016-02-19,15.8
2016-02-20,15.8
2016-02-21,15.8
2016-02-22,15.8
2016-02-23,15.8
2016-02-24,15.8
2016-02-25,15.8
2016-02-26,15.8
2016-02-27,15.8
2016-02-28,15.8
2016-02-29,15.8
2016-03-01,15.8
2016-03-02,15.8
2016-03-03,15.8
2016-03-04,15.8
2016-03-05,15.8
2016-03-06,15.8
2016-03-07,15.8
2016-03-08,15.8
2016-03-09,15.8
2016-03-10,15.8
2016-03-11,15.8
2016-03-12,15.8
2016-03-13,15.8
2016-03-14,15.8
2016-03-15,15.8
2016-03-16,15.8
2016-03-17,15.8
2016-03-18,15.8
2016-03-19,15.8
2016-03-20,15.8
2016-03-21,15.8
2016-03-22,15.8
2016-03-23,15.8
2016-03-24,15.8
2016-03-25,15.8
2016-03-26,15.8
2016-03-27,15.8
2016-03-28,15.8
2016-03-29,15.8
2016-03-30,15.8
2016-03-31,15.8
2016-04-01,15.8
2016-04-02,15.8
2016-04-03,15.791
2016-04-04,15.79
2016-04-05,15.79
2016-04-06,15.79
2016-04-07,15.79
2016-04-08,15.79
2016-04-09,15.79
2016-04-10,15.79
2016-04-11,15.79
2016-04-12,15.79
2016-04-13,15.782
2016-04-14,15.78
2016-04-15,15.78
2016-04-16,15.78
2016-04-17,15.78
2016-04-18,15.78
2016-04-19,15.78
2016-04-20,15.78
2016-04-21,15.78
2016-04-22,15.78
2016-04-23,15.78
2016-04-24,15.78
2016-04-25,15.78
2016-04-26,15.78
2016-04-27,15.78
2016-04-28,15.78
2016-04-29,15.78
2016-04-30,15.78
2016-05-01,15.78
2016-05-02,15.78
2016-05-03,15.78
2016-05-04,15.78
2016-05-05,15.78
2016-05-06,15.78
2016-05-07,15.78
2016-05-08,15.78
2016-05-09,15.78
2016-05-10,15.78
2016-05-11,15.78
2016-05-12,15.78
2016-05-13,15.78
2016-05-14,15.78
2016-05-15,15.78
2016-05-16,15.78
2016-05-17,15.78
2016-05-18,15.78
2016-05-19,15.78
2016-05-20,15.78
2016-05-21,15.78
2016-05-22,15.78
2016-05-23,15.78
2016-05-24,15.78
2016-05-25,15.78
2016-05-26,15.786
2016-05-27,15.79
2016-05-28,15.79
2016-05-29,15.78
2016-05-30,15.78
2016-05-31,15.78
2016-06-01,15.78
2016-06-02,15.827
2016-06-03,15.81
2016-06-04,15.808
2016-06-05,15.8
2016-06-06,15.801
2016-06-07,15.833
2016-06-08,15.86
2016-06-09,15.86
2016-06-10,15.86
2016-06-11,15.862
2016-06-12,15.87
2016-06-13,15.87
2016-06-14,15.87
2016-06-15,15.886
2016-06-16,15.88
2016-06-17,15.88
2016-06-18,15.88
2016-06-19,15.88
2016-06-20,15.88
2016-06-21,15.88
2016-06-22,15.88
2016-06-23,15.88
2016-06-24,15.88
2016-06-25,15.88
2016-06-26,15.88
2016-06-27,15.88
2016-06-28,15.88
2016-06-29,15.88
