Source_Category,Predictor,Train_N,Coefficient,Standard_Error,t_Statistic,p_Value,VIF,Train_AIC,Train_BIC,Full_Rank,Screening_Status
Sto. Niño WL,Sto_Nino_DailyMaxWL_t_1,2214,0.4199696213290518,0.01943654541581052,21.607215291840415,0.0,1.0,4986.271877607247,4997.676989833784,True,ELIGIBLE
Sto. Niño WL,Sto_Nino_DailyMaxWL_t_2,2212,0.3796254289678661,0.019737527064036198,19.233687570697885,0.0,1.0,5068.610853889143,5080.014158614427,True,ELIGIBLE
Sto. Niño WL,Sto_Nino_DailyMaxWL_t_3,2207,0.37193868444794814,0.01985119461644914,18.736337617674227,0.0,1.0,5076.547071891659,5087.945850704172,True,ELIGIBLE
Nangka WL,Nangka_DailyMaxWL_t_1,2078,0.6126140361065213,0.020130958125042585,30.431439591761876,0.0,1.0,4438.7564494956205,4450.0347718389385,True,ELIGIBLE
Nangka WL,Nangka_DailyMaxWL_t_2,2076,0.5569790105804234,0.02090804280508822,26.63946194164458,0.0,1.0,4589.57030812544,4600.846704614011,True,ELIGIBLE
Nangka WL,Nangka_DailyMaxWL_t_3,2077,0.5440018515287254,0.020755620569123175,26.209857215158507,0.0,1.0,4569.413919526521,4580.6912791742725,True,ELIGIBLE
Mt. Boso-Boso Rain,Mt_BosoBoso_Rain_t_1,2262,0.03566847190828144,0.004411972991757354,8.084471952779149,1.1102230246251565e-15,1.0,5420.050192885457,5431.49820219881,True,ELIGIBLE
Mt. Boso-Boso Rain,Mt_BosoBoso_Rain_t_2,2262,0.026007625127992897,0.004404014448959182,5.905435922023231,4.048664958844483e-09,1.0,5452.478986288733,5463.926995602085,True,ELIGIBLE
Mt. Boso-Boso Rain,Mt_BosoBoso_Rain_t_3,2261,0.021812788541422056,0.0043746423737008955,4.9861878247589635,6.626570172585389e-07,1.0,5461.300015858134,5472.74714080269,True,ELIGIBLE
Mt. Boso-Boso Rain,Mt_BosoBoso_Rain_2Day,2252,0.024675458991519267,0.0027899519282831666,8.844402923710458,0.0,1.0,5392.4323054182205,5403.8714533967395,True,ELIGIBLE
Mt. Boso-Boso Rain,Mt_BosoBoso_Rain_3Day,2242,0.01943600125474833,0.002129515272303161,9.126960255949454,0.0,1.0,5372.709510683368,5384.139757890632,True,ELIGIBLE
Mt. Campana Rain,Mt_Campana_Rain_t_1,1902,0.026125750626305257,0.0014053390742319036,18.590353819475517,0.0,1.0,-151.56907451132062,-140.46775202510995,True,ELIGIBLE
Mt. Campana Rain,Mt_Campana_Rain_t_2,1902,0.020175213471407147,0.0014616136142061493,13.80338365441743,0.0,1.0,10.581762599001431,21.683085085212102,True,ELIGIBLE
Mt. Campana Rain,Mt_Campana_Rain_t_3,1901,0.017015610621601288,0.0014744719334528298,11.54013870020242,0.0,1.0,66.89264066600066,77.99291135097752,True,ELIGIBLE
Mt. Campana Rain,Mt_Campana_Rain_2Day,1890,0.01853922710487581,0.0008731209657005529,21.23328591703301,0.0,1.0,-236.96285904493507,-225.87419482882768,True,ELIGIBLE
Nangka Rain,Nangka_Rain_t_1,1852,0.035614928985018425,0.005555506947277969,6.410743308037563,1.8331913764768615e-10,1.0,4774.260837281411,4785.308880111824,True,ELIGIBLE
Nangka Rain,Nangka_Rain_t_2,1850,0.024974610544238784,0.005455610338673824,4.577784884524897,5.012373247348378e-06,1.0,4789.469640194491,4800.515522030636,True,ELIGIBLE
Nangka Rain,Nangka_Rain_t_3,1850,0.02039781677506089,0.005416789198907818,3.7656656048519817,0.00017130177718360784,1.0,4798.306146247548,4809.352028083693,True,ELIGIBLE
Mt. Oro Rain,Mt_Oro_Rain_t_1,2224,0.030299298458221362,0.003898992399493799,7.771058610464355,1.176836406102666e-14,1.0,5365.586426631421,5377.000551942162,True,ELIGIBLE
Mt. Oro Rain,Mt_Oro_Rain_t_2,2224,0.022087986934239783,0.003866581438548818,5.712536328351515,1.2623250000842745e-08,1.0,5395.633293876598,5407.047419187339,True,ELIGIBLE
Mt. Oro Rain,Mt_Oro_Rain_t_3,2224,0.019722702167289958,0.00386972866555704,5.096662808127637,3.7488076021219285e-07,1.0,5403.555986575578,5414.970111886319,True,ELIGIBLE
Mt. Oro Rain,Mt_Oro_Rain_2Day,2196,0.02077306601712153,0.0024790701919527617,8.379377915378265,0.0,1.0,5313.601546761752,5324.9903323670105,True,ELIGIBLE
Mt. Oro Rain,Mt_Oro_Rain_3Day,2169,0.016134947816498834,0.001875345864481655,8.603718451134094,0.0,1.0,5269.962884886556,5281.32692790821,True,ELIGIBLE
Mt. Aries Rain,Mt_Aries_Rain_t_1,2251,0.035674921358903454,0.004401286987540164,8.105565817429646,8.881784197001252e-16,1.0,5402.6631448293465,5414.10140451116,True,ELIGIBLE
Mt. Aries Rain,Mt_Aries_Rain_t_2,2251,0.02631402471870142,0.004361690482141376,6.032987628636713,1.876829580638173e-09,1.0,5434.159687297276,5445.597946979089,True,ELIGIBLE
Mt. Aries Rain,Mt_Aries_Rain_t_3,2251,0.02306905803324635,0.004337431754081594,5.31859850279788,1.1491881712899499e-07,1.0,5443.5501135577515,5454.988373239565,True,ELIGIBLE
Science Garden RH,PAGASA_SG_RH_t_1,2272,0.002252810773497762,0.0015345211198320562,1.468087173504864,0.1422190898743656,1.0,5500.076580124902,5511.533411684583,True,REJECTED
