Subset,Model,Usable_N,MAE_m,RMSE_m,Mean_Bias_m,RMSE_Rank_Within_Subset,MAE_Rank_Within_Subset
HIGH_REPORTED_DAILY_OBSERVATION,C01,37,0.921491049,1.244179876,-0.348344003,15.000000000,15.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C02,37,0.918693600,1.228751789,-0.440858607,9.000000000,13.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C03,37,0.884801154,1.194767400,-0.268258450,6.000000000,6.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C04,37,0.863045679,1.177569773,-0.252092087,5.000000000,5.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C05,35,0.898102304,1.230322484,-0.253696312,11.000000000,8.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C06,37,0.897888821,1.216745288,-0.279572082,7.000000000,7.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C07,37,0.902825531,1.225215183,-0.299663292,8.000000000,9.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C08,37,0.758138484,1.064937999,-0.112478366,2.000000000,2.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C09,37,0.910695947,1.233303504,-0.329057588,12.000000000,11.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C10,37,0.915082998,1.234919355,-0.337640329,13.000000000,12.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C11,37,0.909784246,1.229489659,-0.345855233,10.000000000,10.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C12,37,0.919352756,1.238930627,-0.343846783,14.000000000,14.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C13,37,0.835845032,1.112222971,-0.328450130,4.000000000,4.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C14,37,0.692145311,0.973835367,-0.205093214,1.000000000,1.000000000
HIGH_REPORTED_DAILY_OBSERVATION,C15,35,0.822039162,1.105592271,-0.276585855,3.000000000,3.000000000
HIGH_REPORTED_DAILY_OBSERVATION,True persistence,37,0.926216216,1.259200733,-0.282432432,16.000000000,16.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C01,22,1.138845826,1.386735369,-1.138845826,15.000000000,15.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C02,22,1.165193740,1.413629943,-1.165193740,16.000000000,16.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C03,22,1.057218687,1.302438130,-1.057218687,6.000000000,6.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C04,22,1.038568406,1.278731724,-1.038568406,5.000000000,5.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C05,21,1.076305772,1.335081080,-1.076305772,8.000000000,7.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C06,22,1.076588508,1.333203407,-1.076588508,7.000000000,8.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C07,21,1.129419650,1.378299070,-1.129419650,13.000000000,12.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C08,22,0.807896305,1.125161645,-0.799453372,2.000000000,2.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C09,22,1.114396886,1.367061936,-1.114396886,9.000000000,9.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C10,22,1.129182151,1.374892893,-1.129182151,12.000000000,11.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C11,22,1.132155301,1.372888990,-1.132155301,11.000000000,13.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C12,22,1.138463208,1.382893678,-1.138463208,14.000000000,14.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C13,22,1.038302498,1.269203844,-1.018187504,4.000000000,4.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C14,22,0.803118357,1.112853755,-0.768826126,1.000000000,1.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,C15,21,1.002921573,1.251025653,-0.985543343,3.000000000,3.000000000
RAPID_RISE_REPORTED_DAILY_OBSERVATION,True persistence,22,1.126363636,1.371638039,-1.126363636,10.000000000,10.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C01,44,0.872800347,1.167880118,-0.390835785,15.000000000,15.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C02,44,0.870068328,1.154011105,-0.468252539,9.000000000,13.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C03,44,0.830844106,1.119532041,-0.312387741,6.000000000,6.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C04,44,0.813670872,1.104523570,-0.299914443,5.000000000,5.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C05,42,0.843416213,1.148410656,-0.306411219,8.000000000,8.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C06,44,0.842895558,1.139621111,-0.322947391,7.000000000,7.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C07,43,0.859489751,1.159440083,-0.340489685,13.000000000,10.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C08,44,0.702308312,0.995960071,-0.155145383,2.000000000,2.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C09,44,0.858340219,1.155442355,-0.369235234,11.000000000,9.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C10,44,0.865939644,1.158999321,-0.380362854,12.000000000,12.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C11,44,0.862719125,1.154482100,-0.388506091,10.000000000,11.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C12,44,0.871199004,1.163429392,-0.387250800,14.000000000,14.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C13,44,0.788543623,1.044237325,-0.351813140,4.000000000,4.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C14,44,0.650649155,0.913970669,-0.224624135,1.000000000,1.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,C15,42,0.768396703,1.032771936,-0.305163166,3.000000000,3.000000000
CRITICAL_UNION_HIGH_OR_RAPID_RISE,True persistence,44,0.878409091,1.182108094,-0.337045455,16.000000000,16.000000000
