YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2010,1,1,0,30.1,25.6,81,3,90
2010,1,2,0,30.4,25.8,79,2,70
2010,1,3,0,29.5,24,79,1,130
2010,1,4,0,29.2,24.1,80,1,110
2010,1,5,0,28.7,24.4,80,2,110
2010,1,6,0,31.9,23.6,79,2,120
2010,1,7,0,30.3,22.6,83,2,130
2010,1,8,0,31.3,22.2,80,2,130
2010,1,9,0,31.4,24.6,78,2,120
2010,1,10,0,31.6,25.7,76,2,130
2010,1,11,-999,31.4,25.3,81,2,130
2010,1,12,0,30.6,24.5,83,3,10
2010,1,13,0,31.3,24,71,4,90
2010,1,14,0,29.7,23.9,72,3,90
2010,1,15,0,30.4,22.2,72,3,90
2010,1,16,0,31.4,24.4,72,2,100
2010,1,17,-999,29.8,23.7,79,2,30
2010,1,18,-999,30.5,24.2,82,3,100
2010,1,19,0,29.9,25,83,5,100
2010,1,20,0,29.8,21.5,81,3,110
2010,1,21,0,30.9,21.3,78,3,120
2010,1,22,0,30.6,22.5,73,2,100
2010,1,23,0,30.4,22.7,78,3,110
2010,1,24,0,30.3,22.3,77,3,120
2010,1,25,0,30.9,22.9,78,2,110
2010,1,26,0,31.9,22.6,76,3,80
2010,1,27,0,32,22.6,75,3,110
2010,1,28,0,31.4,22.7,74,3,110
2010,1,29,0,31.7,23.3,72,3,110
2010,1,30,0,32.5,23.8,70,2,110
2010,1,31,0,31.2,24.6,77,3,100
2010,2,1,0,31.5,23,77,2,120
2010,2,2,0,33.1,25.7,74,3,120
2010,2,3,0,31.8,20.8,72,2,80
2010,2,4,0,31.9,20.5,67,3,100
2010,2,5,0,31.9,22.4,72,3,110
2010,2,6,0,32,23.2,72,3,110
2010,2,7,0,32.7,21.5,70,3,110
2010,2,8,0,32.3,23.2,65,3,110
2010,2,9,0,32.6,24.7,76,4,110
2010,2,10,0,32.8,23.9,76,3,100
2010,2,11,0,33.2,22.2,68,3,100
2010,2,12,0,33.1,23.1,66,3,110
2010,2,13,0,32.3,24.7,74,4,100
2010,2,14,0,33,23.5,70,3,100
2010,2,15,0,32.4,24.5,73,3,120
2010,2,16,0,32.8,23,73,4,110
2010,2,17,0,31.7,21.6,74,3,120
2010,2,18,0,32.6,22.1,67,3,110
2010,2,19,0,32.4,22.6,71,2,130
2010,2,20,0,33,24.1,78,2,270
2010,2,21,0,33.3,23.6,75,2,120
2010,2,22,0,34.2,25.6,74,2,120
2010,2,23,0,33.2,25.7,74,3,120
2010,2,24,0,32.6,25.9,71,4,110
2010,2,25,0,32.5,23.4,74,4,120
2010,2,26,0,33.5,25,74,4,120
2010,2,27,0,32.2,22.9,68,3,120
2010,2,28,0,32.7,25.1,70,3,110
2010,3,1,0,32.6,21.9,66,3,120
2010,3,2,0,34.2,25.6,70,3,120
2010,3,3,0,34.1,24.7,70,4,110
2010,3,4,0,34.7,25,67,3,110
2010,3,5,-999,32.9,22.8,70,3,110
2010,3,6,0,34.6,25,72,3,120
2010,3,7,0,35,27.2,70,3,120
2010,3,8,0,34.6,26.8,68,3,120
2010,3,9,0,34.5,26,74,3,20
2010,3,10,0,34.1,26.5,73,3,110
2010,3,11,0,32.7,25.6,77,3,110
2010,3,12,-999,31.9,25,78,2,110
2010,3,13,0,34.1,24.9,72,3,110
2010,3,14,0,33.9,26.7,70,3,100
2010,3,15,0,32.1,26.2,76,3,110
2010,3,16,0,34.5,25.7,65,3,100
2010,3,17,0,33.7,25,72,4,110
2010,3,18,0,33.5,24.6,73,3,110
2010,3,19,0,33.7,24.3,66,4,110
2010,3,20,0,33.5,25.4,69,3,120
2010,3,21,0,35.2,26.4,74,3,100
2010,3,22,0,33.8,24.9,71,4,100
2010,3,23,0,32.7,24.3,70,3,110
2010,3,24,0,34.4,24.5,67,2,130
2010,3,25,0,34.5,26.1,72,2,270
2010,3,26,-999,31.8,25,75,4,110
2010,3,27,0,33.9,25.2,69,3,120
2010,3,28,0,32.7,25.4,72,3,120
2010,3,29,0,31.8,25.3,72,3,110
2010,3,30,0,32.7,23.1,66,3,110
2010,3,31,0,32.9,25.9,73,3,100
2010,4,1,0,33.4,25.2,66,3,120
2010,4,2,0,34.7,26.3,71,3,120
2010,4,3,0,33.7,26.6,74,4,110
2010,4,4,0,34.8,26.1,66,3,120
2010,4,5,0,34.9,26.2,70,3,110
2010,4,6,0,30.5,26.2,66,4,110
2010,4,7,0,35,24.8,70,3,110
2010,4,8,0,33.9,24.2,72,3,120
2010,4,9,0,35.7,25.4,68,3,110
2010,4,10,0,34,25.3,64,4,120
2010,4,11,0,34.2,24.4,66,4,120
2010,4,12,0,35.1,26.6,67,3,120
2010,4,13,0,34.5,26.5,77,4,100
2010,4,14,0,34.3,25.8,68,4,100
2010,4,15,0,35.1,25.4,66,3,110
2010,4,16,0,34,26.8,69,4,110
2010,4,17,0,34.5,25.4,70,4,110
2010,4,18,0,33.5,25.9,69,4,110
2010,4,19,0,34.8,26,66,4,120
2010,4,20,0,35.5,27.2,66,3,120
2010,4,21,0,35.4,25.2,69,4,120
2010,4,22,0,35.7,26.6,66,3,120
2010,4,23,0,37,27.7,68,2,140
2010,4,24,0,35.9,26.7,68,3,110
2010,4,25,0,34.1,27.7,69,4,110
2010,4,26,0,35.2,26.2,70,3,120
2010,4,27,0,35.5,27.5,67,3,120
2010,4,28,-999,35.5,26.5,76,3,110
2010,4,29,-999,34.8,25.6,87,2,340
