Date(UTC),"Science Garden Quezon City, Metro Manila Heat.Index.Max.Dly [deg C]"
Source,Climatic observation
01/01/2015 0:00,28.5
02/01/2015 0:00,30.5
03/01/2015 0:00,32.1
04/01/2015 0:00,32
05/01/2015 0:00,33.3
06/01/2015 0:00,33.9
07/01/2015 0:00,32.3
08/01/2015 0:00,30.6
09/01/2015 0:00,29.1
10/01/2015 0:00,29.6
11/01/2015 0:00,29.7
12/01/2015 0:00,31
13/01/2015 0:00,32.1
14/01/2015 0:00,31.1
15/01/2015 0:00,33.2
16/01/2015 0:00,32.5
17/01/2015 0:00,29
18/01/2015 0:00,23.6
19/01/2015 0:00,33.1
20/01/2015 0:00,34.4
21/01/2015 0:00,35.8
22/01/2015 0:00,33.5
23/01/2015 0:00,29.8
24/01/2015 0:00,29.4
25/01/2015 0:00,31.5
26/01/2015 0:00,30.7
27/01/2015 0:00,32.4
28/01/2015 0:00,35
29/01/2015 0:00,33.4
30/01/2015 0:00,29.6
31/01/2015 0:00,30.2
01/02/2015 0:00,28.7
02/02/2015 0:00,33.7
03/02/2015 0:00,30
04/02/2015 0:00,29.5
05/02/2015 0:00,32.9
06/02/2015 0:00,31.4
07/02/2015 0:00,31.7
08/02/2015 0:00,33.7
09/02/2015 0:00,33.5
10/02/2015 0:00,32
11/02/2015 0:00,29.5
12/02/2015 0:00,34.6
13/02/2015 0:00,31.1
14/02/2015 0:00,34.2
15/02/2015 0:00,34.6
16/02/2015 0:00,41.2
17/02/2015 0:00,33.6
18/02/2015 0:00,31.2
19/02/2015 0:00,30
20/02/2015 0:00,30
21/02/2015 0:00,30.6
22/02/2015 0:00,33.8
23/02/2015 0:00,32.3
24/02/2015 0:00,33.6
25/02/2015 0:00,34.2
26/02/2015 0:00,36.7
27/02/2015 0:00,35.4
28/02/2015 0:00,34.4
01/03/2015 0:00,33.3
02/03/2015 0:00,54.2
03/03/2015 0:00,33.2
04/03/2015 0:00,35.4
05/03/2015 0:00,31.8
06/03/2015 0:00,53.1
07/03/2015 0:00,33.9
08/03/2015 0:00,32.2
09/03/2015 0:00,33.8
10/03/2015 0:00,31.1
11/03/2015 0:00,28.2
12/03/2015 0:00,31.3
13/03/2015 0:00,29.5
14/03/2015 0:00,31.9
15/03/2015 0:00,32.7
16/03/2015 0:00,30.6
17/03/2015 0:00,30.6
18/03/2015 0:00,31.4
19/03/2015 0:00,32.8
20/03/2015 0:00,37.6
21/03/2015 0:00,35.6
22/03/2015 0:00,34.3
23/03/2015 0:00,30.3
24/03/2015 0:00,32.2
25/03/2015 0:00,32.3
26/03/2015 0:00,34.7
27/03/2015 0:00,36.1
28/03/2015 0:00,34.1
29/03/2015 0:00,34.8
30/03/2015 0:00,33.8
31/03/2015 0:00,37.3
01/04/2015 0:00,36.6
02/04/2015 0:00,36.4
03/04/2015 0:00,35.3
04/04/2015 0:00,34.8
05/04/2015 0:00,32.9
06/04/2015 0:00,37.5
07/04/2015 0:00,36
08/04/2015 0:00,33.5
09/04/2015 0:00,35.2
10/04/2015 0:00,34.2
11/04/2015 0:00,36
12/04/2015 0:00,35.7
13/04/2015 0:00,35.7
14/04/2015 0:00,36.9
15/04/2015 0:00,34.5
16/04/2015 0:00,43
17/04/2015 0:00,40.8
18/04/2015 0:00,41.4
19/04/2015 0:00,38.2
20/04/2015 0:00,40
21/04/2015 0:00,39.1
22/04/2015 0:00,36.4
23/04/2015 0:00,35.4
24/04/2015 0:00,35.9
25/04/2015 0:00,34.4
26/04/2015 0:00,35.5
27/04/2015 0:00,36.9
28/04/2015 0:00,37.5
29/04/2015 0:00,40.2
30/04/2015 0:00,39.3
01/05/2015 0:00,37.6
02/05/2015 0:00,38.3
03/05/2015 0:00,37.4
04/05/2015 0:00,38.7
05/05/2015 0:00,39.3
06/05/2015 0:00,38.1
07/05/2015 0:00,40.6
08/05/2015 0:00,37.3
09/05/2015 0:00,38.3
10/05/2015 0:00,38.2
11/05/2015 0:00,38.3
12/05/2015 0:00,37.8
13/05/2015 0:00,36.3
14/05/2015 0:00,37.4
15/05/2015 0:00,38
16/05/2015 0:00,38.3
17/05/2015 0:00,37.7
18/05/2015 0:00,35.9
19/05/2015 0:00,37.5
20/05/2015 0:00,38.8
21/05/2015 0:00,39.8
22/05/2015 0:00,38.7
23/05/2015 0:00,38.8
24/05/2015 0:00,39.5
25/05/2015 0:00,38.6
26/05/2015 0:00,39.9
27/05/2015 0:00,37.9
28/05/2015 0:00,38.7
29/05/2015 0:00,38.4
30/05/2015 0:00,37.2
31/05/2015 0:00,40.4
01/06/2015 0:00,40.4
02/06/2015 0:00,39.6
03/06/2015 0:00,39.8
04/06/2015 0:00,45.5
05/06/2015 0:00,38.4
06/06/2015 0:00,40
07/06/2015 0:00,38.9
08/06/2015 0:00,38.6
09/06/2015 0:00,38.3
10/06/2015 0:00,39.7
11/06/2015 0:00,38.2
12/06/2015 0:00,40.6
13/06/2015 0:00,40.1
14/06/2015 0:00,39.1
15/06/2015 0:00,39.3
16/06/2015 0:00,39.5
17/06/2015 0:00,40.3
18/06/2015 0:00,39.5
19/06/2015 0:00,39.6
20/06/2015 0:00,37.5
21/06/2015 0:00,36.2
22/06/2015 0:00,36.8
23/06/2015 0:00,38.2
24/06/2015 0:00,38.8
25/06/2015 0:00,39.2
26/06/2015 0:00,38.2
27/06/2015 0:00,40.7
28/06/2015 0:00,39.3
29/06/2015 0:00,38.7
30/06/2015 0:00,40.5
01/07/2015 0:00,39.4
02/07/2015 0:00,38.4
03/07/2015 0:00,37.2
04/07/2015 0:00,39.4
05/07/2015 0:00,31.8
06/07/2015 0:00,25.7
07/07/2015 0:00,38.5
08/07/2015 0:00,35.8
09/07/2015 0:00,28.8
10/07/2015 0:00,31.5
11/07/2015 0:00,38.3
12/07/2015 0:00,38.6
13/07/2015 0:00,39.4
14/07/2015 0:00,35.7
15/07/2015 0:00,38.2
16/07/2015 0:00,36
17/07/2015 0:00,37.4
18/07/2015 0:00,36
19/07/2015 0:00,40.4
20/07/2015 0:00,38.8
21/07/2015 0:00,37.8
22/07/2015 0:00,38.7
23/07/2015 0:00,36.3
24/07/2015 0:00,36.6
25/07/2015 0:00,39.4
26/07/2015 0:00,36.6
27/07/2015 0:00,36.5
28/07/2015 0:00,36.7
29/07/2015 0:00,35.8
30/07/2015 0:00,36.7
31/07/2015 0:00,38
01/08/2015 0:00,36.7
02/08/2015 0:00,36.5
03/08/2015 0:00,38.5
04/08/2015 0:00,39.4
05/08/2015 0:00,39.2
06/08/2015 0:00,37.8
07/08/2015 0:00,39.7
08/08/2015 0:00,39.1
09/08/2015 0:00,34.5
10/08/2015 0:00,35.8
11/08/2015 0:00,39.3
12/08/2015 0:00,36.6
13/08/2015 0:00,39.2
14/08/2015 0:00,38.4
15/08/2015 0:00,42.8
16/08/2015 0:00,39.7
17/08/2015 0:00,41.1
18/08/2015 0:00,41
19/08/2015 0:00,42.6
20/08/2015 0:00,32.2
21/08/2015 0:00,37
22/08/2015 0:00,34
23/08/2015 0:00,33.3
24/08/2015 0:00,32.1
25/08/2015 0:00,36.8
26/08/2015 0:00,37
27/08/2015 0:00,38.5
28/08/2015 0:00,36.6
29/08/2015 0:00,37
30/08/2015 0:00,36.2
31/08/2015 0:00,36.7
01/09/2015 0:00,38.3
02/09/2015 0:00,36.5
03/09/2015 0:00,40
04/09/2015 0:00,39.6
05/09/2015 0:00,37.4
06/09/2015 0:00,38.6
07/09/2015 0:00,39.8
08/09/2015 0:00,39.4
09/09/2015 0:00,40.4
10/09/2015 0:00,36.5
11/09/2015 0:00,35.5
12/09/2015 0:00,37.4
13/09/2015 0:00,35
14/09/2015 0:00,34.3
15/09/2015 0:00,36.8
16/09/2015 0:00,35.5
17/09/2015 0:00,36.9
18/09/2015 0:00,37.3
19/09/2015 0:00,36.8
20/09/2015 0:00,37.2
21/09/2015 0:00,35.2
22/09/2015 0:00,38.9
23/09/2015 0:00,38.7
24/09/2015 0:00,38.9
25/09/2015 0:00,37.9
26/09/2015 0:00,39.5
27/09/2015 0:00,38.8
28/09/2015 0:00,38.3
29/09/2015 0:00,40.4
30/09/2015 0:00,41.4
01/10/2015 0:00,34.6
02/10/2015 0:00,31.1
03/10/2015 0:00,40.6
04/10/2015 0:00,35.7
05/10/2015 0:00,38.7
06/10/2015 0:00,39.4
07/10/2015 0:00,37
08/10/2015 0:00,41.5
09/10/2015 0:00,38.2
10/10/2015 0:00,38.3
11/10/2015 0:00,36.9
12/10/2015 0:00,38.7
13/10/2015 0:00,36.6
14/10/2015 0:00,34.1
15/10/2015 0:00,36
16/10/2015 0:00,35.4
17/10/2015 0:00,31.6
18/10/2015 0:00,32.3
19/10/2015 0:00,35.8
20/10/2015 0:00,35.4
21/10/2015 0:00,35.3
22/10/2015 0:00,37.7
23/10/2015 0:00,34.6
24/10/2015 0:00,35.7
25/10/2015 0:00,37.5
26/10/2015 0:00,37.4
27/10/2015 0:00,37.1
28/10/2015 0:00,33.5
29/10/2015 0:00,37.2
30/10/2015 0:00,35.9
31/10/2015 0:00,35.7
01/11/2015 0:00,33.7
02/11/2015 0:00,34.8
03/11/2015 0:00,42.4
04/11/2015 0:00,38
05/11/2015 0:00,39.5
06/11/2015 0:00,36.2
07/11/2015 0:00,37.6
08/11/2015 0:00,36.4
09/11/2015 0:00,33.3
10/11/2015 0:00,35.8
11/11/2015 0:00,36.1
12/11/2015 0:00,35.8
13/11/2015 0:00,36.1
14/11/2015 0:00,34.8
15/11/2015 0:00,35.9
16/11/2015 0:00,36.9
17/11/2015 0:00,37.3
18/11/2015 0:00,36.4
19/11/2015 0:00,34
20/11/2015 0:00,34.8
21/11/2015 0:00,33.7
22/11/2015 0:00,36.2
23/11/2015 0:00,32.8
24/11/2015 0:00,36
25/11/2015 0:00,36.1
26/11/2015 0:00,34.1
27/11/2015 0:00,35.1
28/11/2015 0:00,34.9
29/11/2015 0:00,36.1
30/11/2015 0:00,36.8
01/12/2015 0:00,34.6
02/12/2015 0:00,35.9
03/12/2015 0:00,34.4
04/12/2015 0:00,34.1
05/12/2015 0:00,34.7
