YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2010,1,1,0,24.6,17.5,87,6,70
2010,1,2,0,24.7,17.7,88,5,70
2010,1,3,0,24.6,17.8,90,2,140
2010,1,4,0,25.5,19,62,8,20
2010,1,5,0,25.4,19,88,3,20
2010,1,6,0,27,18.9,87,3,80
2010,1,7,0,23.6,18.5,91,3,40
2010,1,8,0,25.2,18.5,90,3,90
2010,1,9,0,25,18.6,89,3,70
2010,1,10,0,25.4,18.7,89,4,40
2010,1,11,0,27,20.6,93,1,90
2010,1,12,0,26.7,19.7,91,3,90
2010,1,13,0.6,23.3,17.5,87,6,60
2010,1,14,0,22,17.5,88,9,70
2010,1,15,0,22,17.5,89,6,70
2010,1,16,3.3,23.5,18.5,92,5,70
2010,1,17,5.2,21.6,19,99,8,70
2010,1,18,15,21.6,18.6,98,7,70
2010,1,19,8.3,21.6,19,99,7,80
2010,1,20,2,21.5,18.2,92,5,70
2010,1,21,0,23.5,17,90,5,70
2010,1,22,0,24.4,17.2,83,6,70
2010,1,23,0,22.7,17.8,89,6,70
2010,1,24,0,23.1,17,92,6,70
2010,1,25,6,24.5,19,96,5,90
2010,1,26,0,22,18,85,5,90
2010,1,27,0,23.2,19,86,5,60
2010,1,28,0,25.8,18.5,84,3,90
2010,1,29,0,24.9,18,88,3,90
2010,1,30,0,25.9,17.5,86,3,50
2010,1,31,0,24.8,18.4,92,5,110
2010,2,1,0,25,20.5,99,4,90
2010,2,2,0,26.5,21,85,4,40
2010,2,3,0,26,19.2,81,4,70
2010,2,4,0,27,18.3,88,4,110
2010,2,5,0,26,18.5,88,3,50
2010,2,6,0,25.5,18.6,88,3,80
2010,2,7,0,27.5,18.8,87,4,70
2010,2,8,0,27.2,19,89,3,80
2010,2,9,2.4,25.8,19.4,92,4,120
2010,2,10,0,25.6,19.1,89,5,110
2010,2,11,0,26.8,18.3,83,4,120
2010,2,12,0,27.5,17.5,80,4,70
2010,2,13,0,25.5,18.8,84,5,80
2010,2,14,0,27.2,18.8,82,4,60
2010,2,15,0,25.6,19.1,89,4,60
2010,2,16,0,27.2,18.5,84,4,70
2010,2,17,0,26.8,17.8,84,4,80
2010,2,18,0,27,18.2,79,4,60
2010,2,19,0,27.5,18.3,82,3,120
2010,2,20,0,28.6,19.5,82,2,140
2010,2,21,0,27,18,85,4,40
2010,2,22,0,27,19.5,85,3,110
2010,2,23,0,28,20.8,89,4,140
2010,2,24,0,27.5,19,89,3,40
2010,2,25,0,27.8,19.1,91,4,110
2010,2,26,0,28.8,18.1,86,4,90
2010,2,27,0,27.2,20.5,82,3,90
2010,2,28,0,26.8,18.7,87,2,70
2010,3,1,0,27,20,77,3,70
2010,3,2,0,29,20,85,3,120
2010,3,3,0,28,20,83,3,90
2010,3,4,0,29,19.5,82,3,60
2010,3,5,0,26.6,19.8,86,3,100
2010,3,6,0,29.2,20,87,3,90
2010,3,7,0,30,20.9,87,3,90
2010,3,8,0,28.5,20.5,84,3,90
2010,3,9,0,31.6,20,79,2,40
2010,3,10,1.6,29,19.8,83,4,50
2010,3,11,1.2,23.5,19.5,95,4,90
2010,3,12,5,24,20,97,3,110
2010,3,13,0,27.5,19.6,85,4,110
2010,3,14,0,28.4,20.3,83,4,110
2010,3,15,1.4,25,20,92,4,90
2010,3,16,0,27.5,19.5,78,4,60
