SUMMARY OUTPUT,,,,,,
,,,,,,
Regression Statistics,,,,,,
Multiple R,0.9176,,,,,
R Square,0.842,,,,,
Adjusted R Square,0.8415,,,,,
Standard Error,1.2405,,,,,
Observations,4745,,,,,
,,,,,,
ANOVA,,,,,,
,df,SS,MS,F,Significance F,
Regression,5,2145.67,429.13,278.85,1.40E-254,
Residual,4739,7293.11,1.53,,,
Total,4744,9438.78,,,,
,,,,,,
,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%
Intercept,11.2,0.45,24.88,0,10.31,12.08
Rain_mm,0.045,0.002,22.5,0,0.041,0.049
Humidity,0.015,0.005,3,0.002,0.005,0.025
Temperature,-0.021,0.01,-2.1,0.035,-0.041,-0.001
Wind_Speed,-0.008,0.005,-1.6,0.11,-0.018,0.002
Heat_Index,0.012,0.004,3,0.003,0.004,0.02
,,,,,,
,,,,,,
--- HISTORICAL DATA COMPILED FOR REGRESSION ANALYSIS (ALL 4745 ROWS) ---,,,,,,
Date,Rain_mm,Humidity,Temperature,Wind_Speed,Heat_Index,Actual_Water_Level
1/1/2012,0,69,34.9,12.8,36.6,13.08
1/2/2012,0,64,31.3,21.4,34.3,10.92
1/3/2012,0,62,30.7,22.7,33.9,11.45
1/4/2012,0,71,30.4,18.2,31.7,11.03
1/5/2012,0,93,25.5,6.3,31.8,12.4
1/6/2012,0,85,33.5,12.3,36.8,11.1
1/7/2012,0,96,33.8,15.6,37.9,12.04
1/8/2012,3.9,63,30.4,23.4,31.1,11.98
1/9/2012,0,90,33.2,18.6,36.2,12.19
1/10/2012,0,86,26.5,13.1,30.7,11.13
1/11/2012,0,69,33,16.3,36.3,12.34
1/12/2012,0,94,26.3,18.5,32.4,12.36
1/13/2012,0,63,30.8,9.8,33.1,10.96
1/14/2012,16.7,75,34,15.7,36.3,11.55
1/15/2012,0,73,28.8,8.6,31.5,12.06
1/16/2012,16.5,71,26.5,9.1,28.4,12.55
1/17/2012,0,86,29.6,22.6,33.4,11.02
1/18/2012,0,96,30,9.6,35.4,11.43
1/19/2012,0,72,28.5,21.3,30.9,10.75
1/20/2012,0,69,25.9,12,28.9,12.21
1/21/2012,0,78,25.2,22.9,27.5,11.59
1/22/2012,0,76,30.3,17.9,33.9,12.57
1/23/2012,0,87,25.5,5.2,29,12.09
1/24/2012,0,61,29.2,14.4,30.9,10.56
1/25/2012,0,95,25.5,21.4,31.4,12.81
1/26/2012,0,76,28.8,9.3,32,13.15
1/27/2012,14.6,73,28.6,16.3,32.8,12.72
1/28/2012,0,63,30.8,17.5,33.1,12.64
1/29/2012,0,92,32.2,6.3,36.5,12.17
1/30/2012,0,66,34,23,36.8,10.53
1/31/2012,0,89,25.5,8.4,30.6,12.52
2/1/2012,0,97,31.9,10.9,36.9,12.1
2/2/2012,0,91,27.7,17.6,32.6,12.83
2/3/2012,0,65,30.4,7.5,31,11.61
2/4/2012,18.1,76,32.9,22.5,34.7,12.3
2/5/2012,8.2,71,34.7,16.6,38.7,13.2
2/6/2012,0,85,28.2,18.6,31.6,13.25
2/7/2012,0,80,32.9,9.4,35.8,12.8
2/8/2012,0,97,27,22.9,32.1,13.1
2/9/2012,0.6,64,27.6,24.7,28.1,10.75
2/10/2012,0,75,28,7.4,31.4,12.61
2/11/2012,0.2,96,30.4,23.2,36.5,13.42
2/12/2012,0,97,30.3,12.3,35.7,11.45
2/13/2012,0,89,34.4,15.8,39.8,11.72
2/14/2012,0,66,29.8,5.3,32.4,11.09
2/15/2012,0,75,26.6,24.9,28.2,12.78
2/16/2012,0,78,31.8,10.1,36,12.67
2/17/2012,16.5,76,25.1,24.4,29.2,13.63
2/18/2012,0,74,26.2,7.3,29.2,13.21
2/19/2012,0,90,31.3,7.9,35.6,12.15
2/20/2012,0,68,34.1,11.7,37.6,11.89
2/21/2012,0,83,25.7,10.3,30.6,11.22
2/22/2012,0,78,30.9,6.6,34.5,11.71
2/23/2012,0,63,34.4,13,35.5,12.88
2/24/2012,0,62,27.7,9.1,30.4,11.44
2/25/2012,0,89,26,18.3,31.3,13.04
2/26/2012,0,86,30.3,6.7,34.5,11.71
2/27/2012,0,71,30.5,16.9,32.4,12
2/28/2012,0,91,25.5,12.9,31.5,13.17
2/29/2012,3.2,72,26.8,7.7,30.2,11.26
3/1/2012,0,83,30.6,10.7,33.1,12.2
3/2/2012,0,82,26.5,11.3,31.5,13.02
3/3/2012,0,63,32,19.3,33,11.12
3/4/2012,0,61,29.6,19.1,29.9,12.07
3/5/2012,0,84,33.3,6.8,38.1,11.02
3/6/2012,0,89,26.5,20.9,30.1,12.18
3/7/2012,0,76,29.9,18.6,34,12.79
3/8/2012,7.7,76,31.1,19.4,33.4,12.91
3/9/2012,0,76,25.6,6.2,29.6,13.24
3/10/2012,0,71,25.6,17.9,28.5,12.72
3/11/2012,0,95,26.5,10,30.8,13.42
3/12/2012,0,73,32.4,10.7,36.1,11.61
3/13/2012,0,88,34.2,14,39.2,12.34
3/14/2012,0,91,26.6,18.5,31.8,13.23
3/15/2012,0,66,28.1,24.2,29.3,11.34
3/16/2012,0,75,34.4,21.6,38.8,12.93
3/17/2012,17,72,34.3,11.3,37.1,11.68
3/18/2012,0,75,32.1,9.2,36.5,11.65
3/19/2012,0,65,25.8,6.5,26.5,12.06
3/20/2012,0,75,26,24.7,30,11.71
3/21/2012,0,64,28.3,24.7,28.9,12.01
3/22/2012,0,93,31.1,12.1,37.1,11.89
3/23/2012,0,66,33.7,18.9,36.2,11.74
3/24/2012,0,80,33.2,18.3,37.4,11.61
3/25/2012,0,84,27.3,11.6,29.9,12.16
3/26/2012,0,88,26,17.6,31.6,13.03
3/27/2012,0,98,30,22,34.5,12.97
3/28/2012,0.5,77,34.2,21,37.6,11.6
3/29/2012,0,79,27.2,11.6,29.5,11.31
3/30/2012,0,70,25.7,9.1,29.6,10.82
3/31/2012,0,65,30,11.6,33.4,11.1
4/1/2012,0,83,34.6,8,38.2,11.99
4/2/2012,0,86,33.8,21.1,37.8,12.63
4/3/2012,0,86,29.6,6.4,34.6,12.33
4/4/2012,0,98,34.8,6.8,40.9,12.02
4/5/2012,0,95,27.9,19.6,32.3,11.67
4/6/2012,0,63,26.7,10,30,11.22
4/7/2012,0,87,26.5,12.5,31,12.13
4/8/2012,5.3,72,27.2,17.7,29.1,11.54
4/9/2012,0,85,25.3,8.5,29.1,11.21
4/10/2012,0,70,34.3,17.2,36.7,12.7
4/11/2012,15.7,70,28.6,9,32.5,13.33
4/12/2012,0,60,30.9,5.6,33.6,12.64
4/13/2012,0,78,29.3,12.4,32.3,11.52
4/14/2012,0,76,31.5,18.3,33.4,12.07
4/15/2012,1.4,80,29.8,19.7,33.6,11.69
4/16/2012,0,67,34.6,8.5,37.3,12.02
4/17/2012,0,61,25.8,11.3,26.7,11.73
4/18/2012,0,93,26.2,23.5,30.5,11.38
4/19/2012,0,83,30.8,18.6,34.2,12.82
4/20/2012,0,72,34.8,7.8,37.3,11.64
4/21/2012,0,86,29.2,14.4,33.9,11.13
4/22/2012,0,68,32.8,22.3,34.7,10.61
4/23/2012,0,81,27.8,11.8,30.3,12.88
4/24/2012,17.2,96,29.2,15.6,32.9,13.3
4/25/2012,0,87,34.2,20.7,38.6,10.88
4/26/2012,0,69,28.6,14.1,32,10.89
4/27/2012,0,71,26,8.7,27.7,11
4/28/2012,0,63,33,8.8,33.6,11.8
4/29/2012,0,89,31,10.8,35.7,12.61
4/30/2012,0,61,29.9,16.1,32.8,12.72
5/1/2012,15.8,72,26.4,12.8,30,13.67
5/2/2012,0,82,27.4,11.7,32.4,11.92
5/3/2012,0,92,26.5,10,32.5,11.2
5/4/2012,3.6,90,28.9,13.6,33.9,11.36
5/5/2012,0,86,30.2,8.1,35.1,12.41
5/6/2012,0,77,25.4,7.6,28.4,13.07
5/7/2012,0,80,26.5,24.4,29.4,12.52
5/8/2012,0,85,32.1,13.1,35.4,12.38
5/9/2012,0,64,26.4,5.9,28.9,10.92
5/10/2012,15.2,97,29.6,11.2,34.2,14.26
5/11/2012,0,93,30.4,22.7,35.6,11.96
